RAJ2000, deg	DEJ2000, deg	Name	r, arcsec	Ksmag, mag	2s, Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	HRV, km/s	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	Comm	Redshift	MorphologicalType
60.9692917	24.3972778	CGCG487-017	21	10.32	75	6031	2	1	Pec	0.02011725058	SAB
61.0361667	-82.3416667	ESO015-006	33.5	10.74	68	4896	3	1		0.0163312981	SB
61.403875	11.3018889	PGC14450	16.2	11.58	65	3237	3		IRAS	0.01079746976	SB
61.683625	-13.4873611	2MFGC3362	15.9	11.87	69	8684	3		HII,IRAS	0.02896670603	SB
62.1509583	-10.1892778	MCG-02-11-019	16.3	11.5	63	9852	2			0.03286273466	SAB
62.33525	-20.2184722	ESO550-013	15.9	11.89	60	9080	3	1		0.03028761984	SB
63.0944583	5.5469722	UGC02982	29.9	9.91	85	5312	2		Bar,ring,KIG143,IRAS	0.01771892474	SAB
63.4115833	25.4829167	UGC02988	51.8	9.62	62	3820	3		KIG144,IRAS	0.01274214844	SB
63.5027083	36.8476389	UGC02991	44.3	9.97	64	6004	3		Bar,ring,IRAS,Vc	0.02002718828	SB
64.3017083	-17.8574167	NGC1547	30	10.59	107	9575	3	1	Bar,IRAS,Vc	0.03193876212	SB
64.309125	4.7815833	NGC1542	29.1	10.37	62	3754	2		KIG145,IRAS	0.01252199613	SAB
65.2509583	-0.1680278	UGC03018	17.8	11.21	66	13562	3			0.04523796259	SB
65.6388333	3.2025833	CGCG419-004	19	10.78	64	3878	3			0.01293561561	SB
66.145875	33.8750833	UGC03028	38.5	9.67	102	5476	3		Ring,IRAS	0.01826596985	SB
66.45175	-67.8148333	ESO055-023	40.2	10.07	111	5514	3			0.01839272421	SB
66.5905	-20.7178611	ESO551-002	15.1	11.64	65	8733	2	2	IRAS	0.02913015243	SAB
66.6380833	-32.1646389	PGC133204	18.5	11.38	65	10441	2	1		0.03482742718	SAB
67.0402917	21.6553056	UGC03053	25.5	9.98	106	2406	2		IRAS	0.00802555213	SAB
67.2747083	-37.4795278	ESO303-021	16.5	10.95	76	8717	2	2	Bar,HII,IRAS	0.02907678218	SAB
67.7695833	-3.4113889	2MFGC3677	28.4	10.82	74	4732	2			0.01578425298	SAB
68.653125	-36.4086111	ESO360-016	20.9	11.38	105	13910	3	1		0.04639876564	SB
68.8324583	-42.2033889	ESO304-002	17.5	11.99	102	2223	3	3	IRAS	0.007415129836	SB
68.9519167	2.25825	UGC03097	19.2	11.57	80	3359	2	3	IRAS	0.01120441796	SAB
68.975	-72.4765278	PGC165410	17.5	11.45	63	13209	3	1	IRAS34	0.04406048133	SB
69.3915833	-5.7353889	PGC1041050	16.7	11.47	65	5114	3		IRAS	0.01705846783	SB
69.724125	-64.2080278	ESO084-033	40.8	10.09	65	8678	3	2	IRAS	0.02894669218	SB
70.415	-39.2687778	ESO304-013	21.4	11.27	120	9647	2	1		0.03217892826	SAB
70.5605417	-20.4347778	NGC1640	57.2	9.02	121	1603	3		Bar,ring,IRAS	0.005347032446	SB
70.5725	-18.4095	ESO551-028	19.7	11.6	69	17790	2		Bar	0.05934105254	SAB
71.373375	-53.14025	PGC177833	16.7	11.92	67	13437	2	1		0.04482100747	SAB
73.4522917	-32.4400278	ESO361-016	30.9	10.69	62	5496	2		Bar,ring	0.01833268267	SAB
74.0617083	30.0521667	UGC03205	44.4	9.61	102	3467	2		IRAS	0.01156466718	SAB
74.4962917	68.3235833	IC0396	52.6	8.63	107	886	3	1	Ring,IRAS	0.002955377883	SB
75.17075	-49.7468333	ESO203-015	24.4	10.89	95	10800	3		Bar	0.03602492228	SB
75.8265833	18.4525278	UGC03232	42.1	10.45	107	5008	3		IRAS	0.01670488989	SB
76.2418333	-62.0566389	ESO119-033	21.8	11.82	67	8740	3		IRAS05	0.02915350192	SB
76.47325	21.6606111	2MFGC4169	24.3	10.81	80	5339	3		IRAS	0.01780898704	SB
76.5402917	-45.0471111	ESO252-010	24.1	10.68	75	9821	2	1	Bar	0.03275932979	SAB
77.631875	63.1654444	UGC03250	40.3	9.69	64	4529	3		Bar,IRAS	0.01510711787	SB
77.6791667	0.4082778	UGC03258	32.6	10.57	68	2829	2		Bar,ring,pec,KIG156,IRAS	0.009436528253	SAB
77.8452917	-22.2466111	ESO553-018	21.1	11.09	88	9921	2	2	Bar,IRAS	0.03309289388	SAB
77.9099167	-20.4271667	ESO553-020	47.5	9.77	83	4046	2		Bar,pec,IRAS	0.01349600329	SAB
78.3555417	24.714	PGC143025	19.7	11.07	68	6473	3			0.02159160388	SB
79.19675	40.8291944	PGC168873	18.2	11.67	65	5008	3		IRAS	0.01670488989	SB
79.2877083	-64.9598333	NGC1892	49.9	9.88	67	1359	2		IRAS	0.004533136054	SAB
79.592	67.7316667	CGCG307-008	15.6	11.47	64	4677	3		IRAS	0.01560079273	SB
79.85975	-28.7043056	MCG-05-13-015	16	11.4	90	7468	3			0.02491056663	SB
80.0025417	-53.937	ESO159-006	25.7	11.35	73	11200	2		Bar,ring	0.03735917866	SAB
80.4505833	-23.8101944	NGC1886	70.4	9.28	142	1739	2		IRAS05197-2351	0.005800679615	SAB
80.46175	52.8380556	UGC03292	20.1	11.59	97	10093	3			0.03366662413	SB
81.2272083	-12.6888333	MCG-02-14-016	41.1	9.78	62	3407	2			0.01136452872	SAB
82.5689167	-18.0123611	PGC874029	18.4	11.11	107	3295	3			0.01099093694	SB
82.916125	-10.3922778	MCG-02-15-001	40.7	10.24	139	2595	3		Bar,ring,IRAS	0.00865598827	SB
83.3952083	6.2733056	UGC03321	34	10.31	64	8069	2			0.02691528684	SAB
83.5613333	-43.2126944	PGC3080992	15.6	11.75	67	10725	3	1		0.03577474921	SB
84.704625	41.12875	PGC17547	27.7	10.31	78	6117	3			0.0204041157	SB
84.8589167	-37.9638333	PGC3702051	19.6	11.37	97	7663	3	2		0.02556101662	SB
84.9341667	52.6020833	PGC2816495	29.4	10.96	94	6929	3		IRAS	0.02311265616	SB
85.4815	18.4923889	UGC03341	30.2	10.24	77	4570	2		Bar,IRAS	0.01524387915	SAB
86.7578333	-34.2505833	NGC2090	74.7	8.11	96	923	3		IRAS	0.003078796599	SB
86.7898333	-3.6263889	PGC147965	15.3	11.51	69	6346	3			0.02116797748	SB
87.045375	-40.6443889	ESO306-027	22.8	11.46	79	14085	3	1		0.04698250281	SB
87.5216667	13.6266111	MCG+02-15-002	27.4	10.2	80	7592	3		IRAS	0.02532418611	SB
87.8969167	-59.0456111	ESO120-016	56.3	9.89	132	3676	3		IRAS	0.01226181614	SB
88.789125	-42.8190278	ESO254-004	19.5	11.19	65	13006	2	3		0.04338334622	SAB
89.6057917	68.4610278	UGC03379	44.2	9.94	74	4114	3	1	Bar,IRAS,Vc	0.01372282688	SB
90.0718333	35.7503056	PGC97144	24.8	10.94	60	2890	3		IRAS	0.009640002351	SB
90.312875	-31.5404167	ESO425-003	22	11.25	87	13263	3	1		0.04424060595	SB
90.8805833	-41.2866389	ESO307-015	22.9	10.67	69	4721	2			0.01574756093	SAB
91.0877083	48.4217222	PGC97149	18.4	11.48	74	7914	3	1	Pec,IRAS	0.02639826249	SB
91.5454167	-0.5423889	2MFGC4918	36.4	10.04	102	2073	3		IRAS	0.006914783693	SB
91.8244167	-53.1470556	PGC18430	15.6	11.67	62	21300	3			0.07104915228	SB
92.0454167	-46.8598611	ESO254-025	18.2	11.38	65	9138	2			0.03048108702	SAB
92.1317083	-36.0769167	ESO364-032	16.3	11.89	68	9679	2	1	Bar,ring	0.03228566877	SAB
92.7777083	-15.4934722	MCG-03-16-018	35.5	10.32	152	2063	3		Pec,IRAS	0.006881427284	SB
94.0055417	75.9365278	UGC03420	43.5	9.84	69	5102	3		KIG166	0.01701844014	SB
94.3765	-45.2206944	PGC148662	20.8	11.39	74	11966	2			0.03991427963	SAB
95.4909583	19.1287778	2MFGC5127	30.1	11.17	73	5532	3		IRAS	0.01845276575	SB
