ra_deg	dec_deg	name	r_arcsec	ks_mag	"2s, Dimensionless ""separation"" between isolated galaxy and its nearest significant neighbour"	hrv_kms	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	comment	redshift	morph_type	poly_source	logSFR_sed	logSFR_w3	logSFR_w4	SimbadName	luminosity_class	yerkes_class	nuclear_class	mu0	diameter_b25_kpc	diameter_be_kpc	ring_diameter_kpc	abs_mag_b	color_bv	kbi	concentration_c31	luminosity_index	HI	mean_sb_be	MaNGA ID	Plate	IFU	logMstar	bt_r	logSFR_global	Distance (Mpc)	Inclination (°)	R₂₅ (kpc)	log R₂₅	M⋆ (10¹⁰ M☉)	V_rot (km/s)	log V_rot	12+log(O/H)₀	12+log(O/H)_R₂₅	Gradient (dex/R₂₅)	log M_BH (M☉)
67.0402917	21.6553056	UGC03053	25.5	9.98	106.0	2406.0	2.0		IRAS	0.00802555213	SAB	2mig																																			
67.2747083	-37.4795278	ESO303-021	16.5	10.95	76.0	8717.0	2.0	2.0	Bar,HII,IRAS	0.02907678218	SAB	2mig																																			
67.7695833	-3.4113889	2MFGC3677	28.4	10.82	74.0	4732.0	2.0			0.01578425298	SAB	2mig																																			
68.653125	-36.4086111	ESO360-016	20.9	11.38	105.0	13910.0	3.0	1.0		0.04639876564	SB	2mig																																			
68.8324583	-42.2033889	ESO304-002	17.5	11.99	102.0	2223.0	3.0	3.0	IRAS	0.007415129836	SB	2mig																																			
68.9519167	2.25825	UGC03097	19.2	11.57	80.0	3359.0	2.0	3.0	IRAS	0.01120441796	SAB	2mig																																			
68.975	-72.4765278	PGC165410	17.5	11.45	63.0	13209.0	3.0	1.0	IRAS34	0.04406048133	SB	2mig																																			
69.3915833	-5.7353889	PGC1041050	16.7	11.47	65.0	5114.0	3.0		IRAS	0.01705846783	SB	2mig																																			
69.724125	-64.2080278	ESO084-033	40.8	10.09	65.0	8678.0	3.0	2.0	IRAS	0.02894669218	SB	2mig																																			
70.415	-39.2687778	ESO304-013	21.4	11.27	120.0	9647.0	2.0	1.0		0.03217892826	SAB	2mig																																			
70.5605417	-20.4347778	NGC1640	57.2	9.02	121.0	1603.0	3.0		Bar,ring,IRAS	0.005347032446	SB	2mig																																			
70.5725	-18.4095	ESO551-028	19.7	11.6	69.0	17790.0	2.0		Bar	0.05934105254	SAB	2mig																																			
71.373375	-53.14025	PGC177833	16.7	11.92	67.0	13437.0	2.0	1.0		0.04482100747	SAB	2mig																																			
73.4522917	-32.4400278	ESO361-016	30.9	10.69	62.0	5496.0	2.0		Bar,ring	0.01833268267	SAB	2mig																																			
74.0617083	30.0521667	UGC03205	44.4	9.61	102.0	3467.0	2.0		IRAS	0.01156466718	SAB	2mig																																			
74.4962917	68.3235833	IC0396	52.6	8.63	107.0	886.0	3.0	1.0	Ring,IRAS	0.002955377883	SB	2mig																																			
75.17075	-49.7468333	ESO203-015	24.4	10.89	95.0	10800.0	3.0		Bar	0.03602492228	SB	2mig																																			
75.8265833	18.4525278	UGC03232	42.1	10.45	107.0	5008.0	3.0		IRAS	0.01670488989	SB	2mig																																			
76.2418333	-62.0566389	ESO119-033	21.8	11.82	67.0	8740.0	3.0		IRAS05	0.02915350192	SB	2mig																																			
76.47325	21.6606111	2MFGC4169	24.3	10.81	80.0	5339.0	3.0		IRAS	0.01780898704	SB	2mig																																			
76.5402917	-45.0471111	ESO252-010	24.1	10.68	75.0	9821.0	2.0	1.0	Bar	0.03275932979	SAB	2mig																																			
77.631875	63.1654444	UGC03250	40.3	9.69	64.0	4529.0	3.0		Bar,IRAS	0.01510711787	SB	2mig																																			
77.6791667	0.4082778	UGC03258	32.6	10.57	68.0	2829.0	2.0		Bar,ring,pec,KIG156,IRAS	0.009436528253	SAB	2mig																																			
77.8452917	-22.2466111	ESO553-018	21.1	11.09	88.0	9921.0	2.0	2.0	Bar,IRAS	0.03309289388	SAB	2mig																																			
77.9099167	-20.4271667	ESO553-020	47.5	9.77	83.0	4046.0	2.0		Bar,pec,IRAS	0.01349600329	SAB	2mig																																			
78.3555417	24.714	PGC143025	19.7	11.07	68.0	6473.0	3.0			0.02159160388	SB	2mig																																			
79.19675	40.8291944	PGC168873	18.2	11.67	65.0	5008.0	3.0		IRAS	0.01670488989	SB	2mig																																			
79.2877083	-64.9598333	NGC1892	49.9	9.88	67.0	1359.0	2.0		IRAS	0.004533136054	SAB	2mig																																			
79.592	67.7316667	CGCG307-008	15.6	11.47	64.0	4677.0	3.0		IRAS	0.01560079273	SB	2mig																																			
79.85975	-28.7043056	MCG-05-13-015	16.0	11.4	90.0	7468.0	3.0			0.02491056663	SB	2mig																																			
80.0025417	-53.937	ESO159-006	25.7	11.35	73.0	11200.0	2.0		Bar,ring	0.03735917866	SAB	2mig																																			
80.4505833	-23.8101944	NGC1886	70.4	9.28	142.0	1739.0	2.0		IRAS05197-2351	0.005800679615	SAB	2mig																																			
80.46175	52.8380556	UGC03292	20.1	11.59	97.0	10093.0	3.0			0.03366662413	SB	2mig																																			
81.2272083	-12.6888333	MCG-02-14-016	41.1	9.78	62.0	3407.0	2.0			0.01136452872	SAB	2mig																																			
82.5689167	-18.0123611	PGC874029	18.4	11.11	107.0	3295.0	3.0			0.01099093694	SB	2mig																																			
82.916125	-10.3922778	MCG-02-15-001	40.7	10.24	139.0	2595.0	3.0		Bar,ring,IRAS	0.00865598827	SB	2mig																																			
83.3952083	6.2733056	UGC03321	34.0	10.31	64.0	8069.0	2.0			0.02691528684	SAB	2mig																																			
83.5613333	-43.2126944	PGC3080992	15.6	11.75	67.0	10725.0	3.0	1.0		0.03577474921	SB	2mig																																			
